"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"","546","image-keyboard-response","64","2.0.0","101655","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/26-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","65","2.0.0","102557","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","103560","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","459","image-keyboard-response","67","2.0.0","104020","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/10-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","68","2.0.0","104922","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","105925","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","376","image-keyboard-response","70","2.0.0","106303","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/35-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","71","2.0.0","107204","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","108206","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","462","image-keyboard-response","73","2.0.0","108669","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/33-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","74","2.0.0","109570","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","110572","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","417","image-keyboard-response","76","2.0.0","110991","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/1-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","77","2.0.0","111893","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","112895","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","547","image-keyboard-response","79","2.0.0","113444","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","stimuli/12-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","80","2.0.0","114346","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","81","2.0.0","115348","pdok71gr219","smaller","cricket","The effect of measuring smaller images when their sactual sizes are the opposite ( an example : an apple being shown as  the same size as an elephant) ","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
