"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"","null","html-keyboard-response","195","2.0.0","183196","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","396","image-keyboard-response","196","2.0.0","183593","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/7-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","197","2.0.0","184504","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","198","2.0.0","185514","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","389","image-keyboard-response","199","2.0.0","185908","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/13-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","200","2.0.0","186823","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","201","2.0.0","187838","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","396","image-keyboard-response","202","2.0.0","188235","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/21-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","203","2.0.0","189141","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","204","2.0.0","190154","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","561","image-keyboard-response","205","2.0.0","190717","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","206","2.0.0","191632","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","207","2.0.0","192640","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","348","image-keyboard-response","208","2.0.0","192990","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/25-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","209","2.0.0","193896","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","210","2.0.0","194907","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","512","image-keyboard-response","211","2.0.0","195422","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/13-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","212","2.0.0","196338","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","213","2.0.0","197349","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","711","image-keyboard-response","214","2.0.0","198062","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/7-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","215","2.0.0","198964","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","216","2.0.0","199979","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","581","image-keyboard-response","217","2.0.0","200563","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/16-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","218","2.0.0","201474","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","219","2.0.0","202484","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","497","image-keyboard-response","220","2.0.0","202983","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/27-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","221","2.0.0","203898","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","222","2.0.0","204908","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","460","image-keyboard-response","223","2.0.0","205369","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/34-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","224","2.0.0","206273","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","225","2.0.0","207288","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","436","image-keyboard-response","226","2.0.0","207726","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/3-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","227","2.0.0","208637","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","228","2.0.0","209648","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","559","image-keyboard-response","229","2.0.0","210208","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/1-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","230","2.0.0","211112","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","231","2.0.0","212125","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","600","image-keyboard-response","232","2.0.0","212726","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/35-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","233","2.0.0","213636","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","234","2.0.0","214646","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","479","image-keyboard-response","235","2.0.0","215127","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/7-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","236","2.0.0","216033","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","237","2.0.0","217045","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","612","image-keyboard-response","238","2.0.0","217658","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/24-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","239","2.0.0","218572","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","240","2.0.0","219579","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","646","image-keyboard-response","241","2.0.0","220227","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","stimuli/30-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","242","2.0.0","221132","p6lubobgwfr","smaller","koala","to see if people get confused with the image size or the size of the subject in the image","nope","<p>Correct!</p>","null","","","","","","",""
